"site.id","constituent","Month","RL5.n","RL5.Flux_Rate","RL5.SE","RL5.CI_lower","RL5.CI_upper","RL7.n","RL7.Flux_Rate","RL7.SE","RL7.CI_lower","RL7.CI_upper","CMP.n","CMP.Flux_Rate","CMP.SE","CMP.CI_lower","CMP.CI_upper","INT.n","INT.Flux_Rate","INT.SE","INT.CI_lower","INT.CI_upper","BRE.n","BRE.Flux_Rate","BRE.SE","BRE.CI_lower","BRE.CI_upper","loadflex.version","run.date"
"MOGU02900","NO3","2003-11",30,1704868.62216704,327166.957194024,1153354.02368137,2430598.54067087,30,1665508.72149105,308546.812793507,1142494.4250798,2347387.439193,30,2183465.52750146,NA,NA,NA,30,1441874.42329465,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","NO3","2003-12",31,2546439.0893822,459856.858196409,1763910.39617917,3560023.42393067,31,2889364.99887904,521833.506769088,2001384.26964868,4039564.86048469,31,3425988.21666769,NA,NA,NA,31,3056353.89684739,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","NO3","2004-01",31,2645569.66175032,480519.415931264,1828588.16977844,3705325.31116167,31,2731361.28638898,476166.468165906,1916866.90717167,3777146.76406497,31,2580155.52411364,NA,NA,NA,31,2354996.75616667,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","NO3","2004-02",29,3615804.68997641,679867.269540727,2466023.75467191,5120634.91913705,29,3091935.16586329,570048.72242044,2124935.82075647,4351091.3941491,29,3072238.73891028,NA,NA,NA,29,3349348.19906366,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","NO3","2004-03",31,3427062.30139204,623993.428669202,2366538.98979027,4803589.78211587,31,2900515.7691271,517604.431415865,2018157.10446689,4039995.62989692,31,2812083.07748733,NA,NA,NA,31,3280548.4042742,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","NO3","2004-04",30,2594152.96430974,459122.413955268,1810534.73848131,3604039.32325461,30,2604510.70901393,445653.434977671,1840174.29451274,3581464.26184629,30,2113929.04851798,NA,NA,NA,30,2082841.36749469,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","NO3","2004-05",31,3076756.63799034,547660.840993576,2142810.04842969,4282092.1851896,31,3006393.83594224,510889.002864172,2129322.30728004,4125595.2755,31,2635554.42756865,NA,NA,NA,31,2863937.5890504,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","NO3","2004-06",30,3238340.47371677,606824.007612528,2211542.56580749,4581012.99824126,30,3250547.76094635,582052.129087604,2258827.37373691,4532352.19631445,30,2867568.66177579,NA,NA,NA,30,2881285.26636933,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","NO3","2004-07",31,2953204.51842465,552328.662364059,2018336.77947613,4175051.64242876,31,3091599.34991441,558248.803873452,2141624.47880819,4322039.2986104,31,3038645.74711756,NA,NA,NA,31,3191023.47294478,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","NO3","2004-08",31,2417878.21085691,431639.229636754,1682105.21823371,3368146.54908742,31,2389470.78651591,410456.167229143,1685889.79029567,3289613.08799434,31,2773206.69160961,NA,NA,NA,31,2723871.90816407,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","NO3","2004-09",30,1890865.70507544,336932.893874881,1316372.07104221,2632495.05796111,30,1587439.18895507,284441.923554676,1102845.56104978,2213884.60689819,30,1723524.88033174,NA,NA,NA,30,1432788.58969269,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","NO3","2004-10",31,2670451.34330885,485439.403106175,1845207.71997608,3741148.9291526,31,2836450.05228227,512124.484582272,1964951.88039419,3965215.27959607,31,1453844.36319702,NA,NA,NA,31,1398617.84982188,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","NO3","2004-11",30,2404444.61003561,423366.853688435,1681309.99855677,3335199.49331421,30,2529317.65103059,447102.488060417,1766078.4265232,3512643.64633154,30,1805027.51494164,NA,NA,NA,30,1806306.58224942,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","NO3","2004-12",31,2920486.2320636,510050.760067425,2048257.7850507,4040891.81847861,31,3139527.02668888,550540.784225792,2198612.11873602,4349369.74773918,31,2633707.93712819,NA,NA,NA,31,3222915.57205734,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
