"date","Q_m3s","CODIGO_ESTACAO"
"2013-01-19",17.9690291267239,"ORIZ02900"
"2013-01-20",16.6578497439621,"ORIZ02900"
"2013-01-21",15.4848130826927,"ORIZ02900"
"2013-01-22",14.3233128693596,"ORIZ02900"
"2013-01-23",12.6139416819387,"ORIZ02900"
"2013-01-24",10.4217974082224,"ORIZ02900"
"2013-01-25",9.0735678590293,"ORIZ02900"
"2013-01-26",8.92272290007339,"ORIZ02900"
"2013-01-27",10.2915049065821,"ORIZ02900"
"2013-01-28",11.3422444204466,"ORIZ02900"
"2013-01-29",12.3984196802875,"ORIZ02900"
"2013-01-30",12.54080211406,"ORIZ02900"
"2013-01-31",12.2084121225594,"ORIZ02900"
"2013-02-01",11.8842190402445,"ORIZ02900"
"2013-02-02",11.7458528386295,"ORIZ02900"
"2013-02-03",11.5540132629792,"ORIZ02900"
"2013-02-04",11.7240147885341,"ORIZ02900"
"2013-02-05",12.0964122676284,"ORIZ02900"
"2013-02-06",12.8268853239949,"ORIZ02900"
"2013-02-07",14.0795870228645,"ORIZ02900"
"2013-02-08",15.3238146025357,"ORIZ02900"
"2013-02-09",16.7138016195721,"ORIZ02900"
"2013-02-10",17.4711719629273,"ORIZ02900"
"2013-02-11",18.1315511695626,"ORIZ02900"
"2013-02-12",18.2344588696699,"ORIZ02900"
"2013-02-13",17.8025959132798,"ORIZ02900"
"2013-02-14",16.9696866417969,"ORIZ02900"
"2013-02-15",16.2503433990792,"ORIZ02900"
"2013-02-16",15.1472899510576,"ORIZ02900"
"2013-02-17",13.8971165406675,"ORIZ02900"
"2013-02-18",12.398911281035,"ORIZ02900"
"2013-02-19",12.0450594867102,"ORIZ02900"
"2013-02-20",11.494714573238,"ORIZ02900"
"2013-02-21",11.040578858962,"ORIZ02900"
"2013-02-22",10.5485464085635,"ORIZ02900"
"2013-02-23",11.0052984868951,"ORIZ02900"
"2013-02-24",10.7893935714071,"ORIZ02900"
"2013-02-25",10.9029155153538,"ORIZ02900"
"2013-02-26",10.5410451985064,"ORIZ02900"
"2013-02-27",9.93674334764555,"ORIZ02900"
"2013-02-28",9.66076844117933,"ORIZ02900"
"2013-03-01",9.78059168493268,"ORIZ02900"
"2013-03-02",10.1006082929409,"ORIZ02900"
"2013-03-03",10.5692632921806,"ORIZ02900"
"2013-03-04",10.5792544054224,"ORIZ02900"
"2013-03-05",10.1211843834317,"ORIZ02900"
"2013-03-06",9.59818382363634,"ORIZ02900"
"2013-03-07",8.97596237644029,"ORIZ02900"
"2013-03-08",8.45347535908919,"ORIZ02900"
"2013-03-09",8.52722411011144,"ORIZ02900"
"2013-03-10",9.36484646375998,"ORIZ02900"
"2013-03-11",10.9487848464756,"ORIZ02900"
"2013-03-12",12.4576593274284,"ORIZ02900"
"2013-03-13",13.7017467753341,"ORIZ02900"
"2013-03-14",14.472303799054,"ORIZ02900"
"2013-03-15",14.9193983442811,"ORIZ02900"
"2013-03-16",15.1592686218057,"ORIZ02900"
"2013-03-17",14.8941132819628,"ORIZ02900"
"2013-03-18",14.5693716255215,"ORIZ02900"
"2013-03-19",14.0079979981615,"ORIZ02900"
